profile,run,allocs,native,output_counts,peak_extra_bytes,reallocs,requested_bytes,round,source,variant
debug,0,306,False,"[93, 26, 7, 0]",55538,7,99608,2,lib/tests/builtin/host-return.zy,explicit
debug,0,305,False,"[93, 26, 7, 0]",55026,7,99096,2,lib/tests/builtin/host-return.zy,recursive
debug,0,527,False,"[93, 26, 7, 0]",42506,2,89288,2,lib/tests/builtin/host-return.zy,original
debug,0,416,False,"[93, 26, 7, 0]",42826,2,78544,2,lib/tests/builtin/host-return.zy,jobs
debug,0,305,False,"[93, 26, 7, 0]",55026,7,99096,3,lib/tests/builtin/host-return.zy,recursive
debug,0,527,False,"[93, 26, 7, 0]",42506,2,89288,3,lib/tests/builtin/host-return.zy,original
debug,0,416,False,"[93, 26, 7, 0]",42826,2,78544,3,lib/tests/builtin/host-return.zy,jobs
debug,0,306,False,"[93, 26, 7, 0]",55538,7,99608,3,lib/tests/builtin/host-return.zy,explicit
debug,0,527,False,"[93, 26, 7, 0]",42506,2,89288,4,lib/tests/builtin/host-return.zy,original
debug,0,416,False,"[93, 26, 7, 0]",42826,2,78544,4,lib/tests/builtin/host-return.zy,jobs
debug,0,306,False,"[93, 26, 7, 0]",55538,7,99608,4,lib/tests/builtin/host-return.zy,explicit
debug,0,305,False,"[93, 26, 7, 0]",55026,7,99096,4,lib/tests/builtin/host-return.zy,recursive
debug,0,416,False,"[93, 26, 7, 0]",42826,2,78544,5,lib/tests/builtin/host-return.zy,jobs
debug,0,306,False,"[93, 26, 7, 0]",55538,7,99608,5,lib/tests/builtin/host-return.zy,explicit
debug,0,305,False,"[93, 26, 7, 0]",55026,7,99096,5,lib/tests/builtin/host-return.zy,recursive
debug,0,527,False,"[93, 26, 7, 0]",42506,2,89288,5,lib/tests/builtin/host-return.zy,original
debug,0,306,False,"[93, 26, 7, 0]",55538,7,99608,6,lib/tests/builtin/host-return.zy,explicit
debug,0,305,False,"[93, 26, 7, 0]",55026,7,99096,6,lib/tests/builtin/host-return.zy,recursive
debug,0,527,False,"[93, 26, 7, 0]",42506,2,89288,6,lib/tests/builtin/host-return.zy,original
debug,0,416,False,"[93, 26, 7, 0]",42826,2,78544,6,lib/tests/builtin/host-return.zy,jobs
debug,0,305,False,"[93, 26, 7, 0]",55026,7,99096,7,lib/tests/builtin/host-return.zy,recursive
debug,0,527,False,"[93, 26, 7, 0]",42506,2,89288,7,lib/tests/builtin/host-return.zy,original
debug,0,416,False,"[93, 26, 7, 0]",42826,2,78544,7,lib/tests/builtin/host-return.zy,jobs
debug,0,306,False,"[93, 26, 7, 0]",55538,7,99608,7,lib/tests/builtin/host-return.zy,explicit
debug,0,383,True,"[66, 24, 7, 8]",45128,2,82363,0,lib/tests/builtin/host-return.zy,original
debug,0,311,True,"[66, 24, 7, 8]",45320,2,75219,0,lib/tests/builtin/host-return.zy,jobs
debug,0,247,True,"[66, 24, 7, 8]",57976,7,97755,0,lib/tests/builtin/host-return.zy,explicit
debug,0,246,True,"[66, 24, 7, 8]",57464,7,97243,0,lib/tests/builtin/host-return.zy,recursive
debug,0,311,True,"[66, 24, 7, 8]",45320,2,75219,1,lib/tests/builtin/host-return.zy,jobs
debug,0,247,True,"[66, 24, 7, 8]",57976,7,97755,1,lib/tests/builtin/host-return.zy,explicit
debug,0,246,True,"[66, 24, 7, 8]",57464,7,97243,1,lib/tests/builtin/host-return.zy,recursive
debug,0,383,True,"[66, 24, 7, 8]",45128,2,82363,1,lib/tests/builtin/host-return.zy,original
debug,0,247,True,"[66, 24, 7, 8]",57976,7,97755,2,lib/tests/builtin/host-return.zy,explicit
debug,0,246,True,"[66, 24, 7, 8]",57464,7,97243,2,lib/tests/builtin/host-return.zy,recursive
debug,0,383,True,"[66, 24, 7, 8]",45128,2,82363,2,lib/tests/builtin/host-return.zy,original
debug,0,311,True,"[66, 24, 7, 8]",45320,2,75219,2,lib/tests/builtin/host-return.zy,jobs
debug,0,246,True,"[66, 24, 7, 8]",57464,7,97243,3,lib/tests/builtin/host-return.zy,recursive
debug,0,383,True,"[66, 24, 7, 8]",45128,2,82363,3,lib/tests/builtin/host-return.zy,original
debug,0,311,True,"[66, 24, 7, 8]",45320,2,75219,3,lib/tests/builtin/host-return.zy,jobs
debug,0,247,True,"[66, 24, 7, 8]",57976,7,97755,3,lib/tests/builtin/host-return.zy,explicit
debug,0,383,True,"[66, 24, 7, 8]",45128,2,82363,4,lib/tests/builtin/host-return.zy,original
debug,0,311,True,"[66, 24, 7, 8]",45320,2,75219,4,lib/tests/builtin/host-return.zy,jobs
debug,0,247,True,"[66, 24, 7, 8]",57976,7,97755,4,lib/tests/builtin/host-return.zy,explicit
debug,0,246,True,"[66, 24, 7, 8]",57464,7,97243,4,lib/tests/builtin/host-return.zy,recursive
debug,0,311,True,"[66, 24, 7, 8]",45320,2,75219,5,lib/tests/builtin/host-return.zy,jobs
debug,0,247,True,"[66, 24, 7, 8]",57976,7,97755,5,lib/tests/builtin/host-return.zy,explicit
debug,0,246,True,"[66, 24, 7, 8]",57464,7,97243,5,lib/tests/builtin/host-return.zy,recursive
debug,0,383,True,"[66, 24, 7, 8]",45128,2,82363,5,lib/tests/builtin/host-return.zy,original
debug,0,247,True,"[66, 24, 7, 8]",57976,7,97755,6,lib/tests/builtin/host-return.zy,explicit
debug,0,246,True,"[66, 24, 7, 8]",57464,7,97243,6,lib/tests/builtin/host-return.zy,recursive
debug,0,383,True,"[66, 24, 7, 8]",45128,2,82363,6,lib/tests/builtin/host-return.zy,original
debug,0,311,True,"[66, 24, 7, 8]",45320,2,75219,6,lib/tests/builtin/host-return.zy,jobs
debug,0,246,True,"[66, 24, 7, 8]",57464,7,97243,7,lib/tests/builtin/host-return.zy,recursive
debug,0,383,True,"[66, 24, 7, 8]",45128,2,82363,7,lib/tests/builtin/host-return.zy,original
debug,0,311,True,"[66, 24, 7, 8]",45320,2,75219,7,lib/tests/builtin/host-return.zy,jobs
debug,0,247,True,"[66, 24, 7, 8]",57976,7,97755,7,lib/tests/builtin/host-return.zy,explicit
debug,0,2776,False,"[525, 160, 38, 0]",332949,7,634634,0,lib/tests/builtin/host-runtime.zy,original
debug,0,2130,False,"[525, 160, 38, 0]",333461,7,571850,0,lib/tests/builtin/host-runtime.zy,jobs
debug,0,1516,False,"[525, 160, 38, 0]",431901,15,749366,0,lib/tests/builtin/host-runtime.zy,explicit
debug,0,1515,False,"[525, 160, 38, 0]",431389,15,748854,0,lib/tests/builtin/host-runtime.zy,recursive
