profile,run,drop_ns,input_nodes,iterations,lower_ns,native,output_counts,round,source,variant
release,0,420331,343,69,3631663,False,"[276, 90, 14, 0]",28,lib/tests/core/fact.zy,baseline
release,0,399500,343,69,3187829,False,"[276, 90, 14, 0]",29,lib/tests/core/fact.zy,recursive
release,0,403918,343,69,3209786,False,"[276, 90, 14, 0]",29,lib/tests/core/fact.zy,original
release,0,407789,343,69,3310583,False,"[276, 90, 14, 0]",29,lib/tests/core/fact.zy,jobs
release,0,399874,343,69,3737829,False,"[276, 90, 14, 0]",29,lib/tests/core/fact.zy,baseline
release,0,498005,343,69,3912626,False,"[276, 90, 14, 0]",29,lib/tests/core/fact.zy,explicit
release,0,544830,343,69,4076543,False,"[276, 90, 14, 0]",30,lib/tests/core/fact.zy,original
release,0,561580,343,69,4144834,False,"[276, 90, 14, 0]",30,lib/tests/core/fact.zy,jobs
release,0,590251,343,69,4227879,False,"[276, 90, 14, 0]",30,lib/tests/core/fact.zy,baseline
release,0,474333,343,69,3527585,False,"[276, 90, 14, 0]",30,lib/tests/core/fact.zy,explicit
release,0,492920,343,69,3686960,False,"[276, 90, 14, 0]",30,lib/tests/core/fact.zy,recursive
release,0,518962,343,69,4047325,False,"[276, 90, 14, 0]",31,lib/tests/core/fact.zy,jobs
release,0,653840,343,69,4918833,False,"[276, 90, 14, 0]",31,lib/tests/core/fact.zy,baseline
release,0,429207,343,69,3413206,False,"[276, 90, 14, 0]",31,lib/tests/core/fact.zy,explicit
release,0,537829,343,69,3997166,False,"[276, 90, 14, 0]",31,lib/tests/core/fact.zy,recursive
release,0,508041,343,69,4409674,False,"[276, 90, 14, 0]",31,lib/tests/core/fact.zy,original
release,0,464957,343,69,3693792,False,"[276, 90, 14, 0]",32,lib/tests/core/fact.zy,baseline
release,0,462920,343,69,3383254,False,"[276, 90, 14, 0]",32,lib/tests/core/fact.zy,explicit
release,0,582166,343,69,3994333,False,"[276, 90, 14, 0]",32,lib/tests/core/fact.zy,recursive
release,0,525962,343,69,5067870,False,"[276, 90, 14, 0]",32,lib/tests/core/fact.zy,original
release,0,513129,343,69,3371168,False,"[276, 90, 14, 0]",32,lib/tests/core/fact.zy,jobs
release,0,486915,343,69,3586123,False,"[276, 90, 14, 0]",33,lib/tests/core/fact.zy,explicit
release,0,504127,343,69,4204250,False,"[276, 90, 14, 0]",33,lib/tests/core/fact.zy,recursive
release,0,499583,343,69,4549879,False,"[276, 90, 14, 0]",33,lib/tests/core/fact.zy,original
release,0,638872,343,69,4248913,False,"[276, 90, 14, 0]",33,lib/tests/core/fact.zy,jobs
release,0,529500,343,69,3841035,False,"[276, 90, 14, 0]",33,lib/tests/core/fact.zy,baseline
release,0,564750,343,69,4290667,False,"[276, 90, 14, 0]",34,lib/tests/core/fact.zy,recursive
release,0,515675,343,69,5450746,False,"[276, 90, 14, 0]",34,lib/tests/core/fact.zy,original
release,0,510664,343,69,4078547,False,"[276, 90, 14, 0]",34,lib/tests/core/fact.zy,jobs
release,0,516788,343,69,4148129,False,"[276, 90, 14, 0]",34,lib/tests/core/fact.zy,baseline
release,0,455587,343,69,3572576,False,"[276, 90, 14, 0]",34,lib/tests/core/fact.zy,explicit
release,0,474791,343,69,3584879,False,"[276, 90, 14, 0]",35,lib/tests/core/fact.zy,original
release,0,495834,343,69,3420421,False,"[276, 90, 14, 0]",35,lib/tests/core/fact.zy,jobs
release,0,538749,343,69,3895582,False,"[276, 90, 14, 0]",35,lib/tests/core/fact.zy,baseline
release,0,467169,343,69,3774830,False,"[276, 90, 14, 0]",35,lib/tests/core/fact.zy,explicit
release,0,461541,343,69,3478248,False,"[276, 90, 14, 0]",35,lib/tests/core/fact.zy,recursive
release,0,454249,343,69,3208164,False,"[276, 90, 14, 0]",36,lib/tests/core/fact.zy,jobs
release,0,425960,343,69,3830418,False,"[276, 90, 14, 0]",36,lib/tests/core/fact.zy,baseline
release,0,463369,343,69,3579457,False,"[276, 90, 14, 0]",36,lib/tests/core/fact.zy,explicit
release,0,484503,343,69,3555373,False,"[276, 90, 14, 0]",36,lib/tests/core/fact.zy,recursive
release,0,473376,343,69,3614879,False,"[276, 90, 14, 0]",36,lib/tests/core/fact.zy,original
release,0,453333,343,69,3778920,False,"[276, 90, 14, 0]",37,lib/tests/core/fact.zy,baseline
release,0,459082,343,69,3671833,False,"[276, 90, 14, 0]",37,lib/tests/core/fact.zy,explicit
release,0,447253,343,69,3419703,False,"[276, 90, 14, 0]",37,lib/tests/core/fact.zy,recursive
release,0,441205,343,69,3441791,False,"[276, 90, 14, 0]",37,lib/tests/core/fact.zy,original
release,0,442961,343,69,3116290,False,"[276, 90, 14, 0]",37,lib/tests/core/fact.zy,jobs
release,0,435504,343,69,3516832,False,"[276, 90, 14, 0]",38,lib/tests/core/fact.zy,explicit
release,0,439871,343,69,3363085,False,"[276, 90, 14, 0]",38,lib/tests/core/fact.zy,recursive
release,0,423207,343,69,3352706,False,"[276, 90, 14, 0]",38,lib/tests/core/fact.zy,original
release,0,463672,343,69,3210710,False,"[276, 90, 14, 0]",38,lib/tests/core/fact.zy,jobs
release,0,554709,343,69,4061040,False,"[276, 90, 14, 0]",38,lib/tests/core/fact.zy,baseline
release,0,466081,343,69,3533752,False,"[276, 90, 14, 0]",39,lib/tests/core/fact.zy,recursive
release,0,446916,343,69,3523331,False,"[276, 90, 14, 0]",39,lib/tests/core/fact.zy,original
release,0,431456,343,69,3123172,False,"[276, 90, 14, 0]",39,lib/tests/core/fact.zy,jobs
release,0,448587,343,69,3788993,False,"[276, 90, 14, 0]",39,lib/tests/core/fact.zy,baseline
release,0,430674,343,69,3500625,False,"[276, 90, 14, 0]",39,lib/tests/core/fact.zy,explicit
release,0,751833,343,106,5164625,True,"[265, 89, 14, 13]",0,lib/tests/core/fact.zy,original
release,0,711498,343,106,4737086,True,"[265, 89, 14, 13]",0,lib/tests/core/fact.zy,jobs
release,0,834122,343,106,5890745,True,"[265, 89, 14, 13]",0,lib/tests/core/fact.zy,baseline
release,0,719123,343,106,5225250,True,"[265, 89, 14, 13]",0,lib/tests/core/fact.zy,explicit
release,0,645542,343,106,5032169,True,"[265, 89, 14, 13]",0,lib/tests/core/fact.zy,recursive
release,0,738791,343,106,4993166,True,"[265, 89, 14, 13]",1,lib/tests/core/fact.zy,jobs
release,0,660503,343,106,5635458,True,"[265, 89, 14, 13]",1,lib/tests/core/fact.zy,baseline
release,0,624332,343,106,5102167,True,"[265, 89, 14, 13]",1,lib/tests/core/fact.zy,explicit
release,0,621875,343,106,4889001,True,"[265, 89, 14, 13]",1,lib/tests/core/fact.zy,recursive
release,0,702584,343,106,5066127,True,"[265, 89, 14, 13]",1,lib/tests/core/fact.zy,original
release,0,602627,343,106,5276790,True,"[265, 89, 14, 13]",2,lib/tests/core/fact.zy,baseline
release,0,753464,343,106,5683038,True,"[265, 89, 14, 13]",2,lib/tests/core/fact.zy,explicit
release,0,768880,343,106,6024543,True,"[265, 89, 14, 13]",2,lib/tests/core/fact.zy,recursive
release,0,752747,343,106,5630414,True,"[265, 89, 14, 13]",2,lib/tests/core/fact.zy,original
release,0,849671,343,106,5411500,True,"[265, 89, 14, 13]",2,lib/tests/core/fact.zy,jobs
release,0,860798,343,106,5641334,True,"[265, 89, 14, 13]",3,lib/tests/core/fact.zy,explicit
release,0,716122,343,106,5007829,True,"[265, 89, 14, 13]",3,lib/tests/core/fact.zy,recursive
release,0,732836,343,106,6074453,True,"[265, 89, 14, 13]",3,lib/tests/core/fact.zy,original
release,0,783291,343,106,5451832,True,"[265, 89, 14, 13]",3,lib/tests/core/fact.zy,jobs
release,0,763333,343,106,5843623,True,"[265, 89, 14, 13]",3,lib/tests/core/fact.zy,baseline
release,0,845161,343,106,7473497,True,"[265, 89, 14, 13]",4,lib/tests/core/fact.zy,recursive
release,0,762078,343,106,5524425,True,"[265, 89, 14, 13]",4,lib/tests/core/fact.zy,original
release,0,834545,343,106,6164864,True,"[265, 89, 14, 13]",4,lib/tests/core/fact.zy,jobs
release,0,1644201,343,106,6934920,True,"[265, 89, 14, 13]",4,lib/tests/core/fact.zy,baseline
release,0,954119,343,106,6541750,True,"[265, 89, 14, 13]",4,lib/tests/core/fact.zy,explicit
release,0,1427287,343,106,6924711,True,"[265, 89, 14, 13]",5,lib/tests/core/fact.zy,original
release,0,979166,343,106,5605550,True,"[265, 89, 14, 13]",5,lib/tests/core/fact.zy,jobs
release,0,882914,343,106,6764411,True,"[265, 89, 14, 13]",5,lib/tests/core/fact.zy,baseline
release,0,786831,343,106,6299119,True,"[265, 89, 14, 13]",5,lib/tests/core/fact.zy,explicit
release,0,884583,343,106,6290336,True,"[265, 89, 14, 13]",5,lib/tests/core/fact.zy,recursive
release,0,874288,343,106,5926874,True,"[265, 89, 14, 13]",6,lib/tests/core/fact.zy,jobs
release,0,1489250,343,106,6381755,True,"[265, 89, 14, 13]",6,lib/tests/core/fact.zy,baseline
release,0,875543,343,106,6320667,True,"[265, 89, 14, 13]",6,lib/tests/core/fact.zy,explicit
release,0,842876,343,106,6427038,True,"[265, 89, 14, 13]",6,lib/tests/core/fact.zy,recursive
release,0,823751,343,106,5741007,True,"[265, 89, 14, 13]",6,lib/tests/core/fact.zy,original
release,0,854255,343,106,6671824,True,"[265, 89, 14, 13]",7,lib/tests/core/fact.zy,baseline
release,0,804085,343,106,5815452,True,"[265, 89, 14, 13]",7,lib/tests/core/fact.zy,explicit
release,0,824996,343,106,5962046,True,"[265, 89, 14, 13]",7,lib/tests/core/fact.zy,recursive
release,0,819502,343,106,6562706,True,"[265, 89, 14, 13]",7,lib/tests/core/fact.zy,original
release,0,887083,343,106,6366995,True,"[265, 89, 14, 13]",7,lib/tests/core/fact.zy,jobs
release,0,902245,343,106,8215704,True,"[265, 89, 14, 13]",8,lib/tests/core/fact.zy,explicit
release,0,875794,343,106,5915039,True,"[265, 89, 14, 13]",8,lib/tests/core/fact.zy,recursive
release,0,725507,343,106,5565416,True,"[265, 89, 14, 13]",8,lib/tests/core/fact.zy,original
release,0,781830,343,106,5038668,True,"[265, 89, 14, 13]",8,lib/tests/core/fact.zy,jobs
release,0,932918,343,106,6336875,True,"[265, 89, 14, 13]",8,lib/tests/core/fact.zy,baseline
release,0,832167,343,106,5538329,True,"[265, 89, 14, 13]",9,lib/tests/core/fact.zy,recursive
release,0,817375,343,106,5825417,True,"[265, 89, 14, 13]",9,lib/tests/core/fact.zy,original
release,0,905707,343,106,5484996,True,"[265, 89, 14, 13]",9,lib/tests/core/fact.zy,jobs
release,0,914293,343,106,6383007,True,"[265, 89, 14, 13]",9,lib/tests/core/fact.zy,baseline
release,0,815962,343,106,5729746,True,"[265, 89, 14, 13]",9,lib/tests/core/fact.zy,explicit
release,0,856210,343,106,6827500,True,"[265, 89, 14, 13]",10,lib/tests/core/fact.zy,original
release,0,907544,343,106,5992875,True,"[265, 89, 14, 13]",10,lib/tests/core/fact.zy,jobs
release,0,795205,343,106,5700081,True,"[265, 89, 14, 13]",10,lib/tests/core/fact.zy,baseline
release,0,760207,343,106,5236879,True,"[265, 89, 14, 13]",10,lib/tests/core/fact.zy,explicit
release,0,658955,343,106,4841125,True,"[265, 89, 14, 13]",10,lib/tests/core/fact.zy,recursive
release,0,709624,343,106,4744919,True,"[265, 89, 14, 13]",11,lib/tests/core/fact.zy,jobs
release,0,712372,343,106,5506543,True,"[265, 89, 14, 13]",11,lib/tests/core/fact.zy,baseline
release,0,636376,343,106,4878627,True,"[265, 89, 14, 13]",11,lib/tests/core/fact.zy,explicit
release,0,753584,343,106,5085335,True,"[265, 89, 14, 13]",11,lib/tests/core/fact.zy,recursive
release,0,893085,343,106,7020420,True,"[265, 89, 14, 13]",11,lib/tests/core/fact.zy,original
release,0,905542,343,106,7006380,True,"[265, 89, 14, 13]",12,lib/tests/core/fact.zy,baseline
release,0,778954,343,106,5655005,True,"[265, 89, 14, 13]",12,lib/tests/core/fact.zy,explicit
release,0,909290,343,106,8417085,True,"[265, 89, 14, 13]",12,lib/tests/core/fact.zy,recursive
release,0,842502,343,106,5787377,True,"[265, 89, 14, 13]",12,lib/tests/core/fact.zy,original
release,0,952749,343,106,6082542,True,"[265, 89, 14, 13]",12,lib/tests/core/fact.zy,jobs
release,0,821586,343,106,6554213,True,"[265, 89, 14, 13]",13,lib/tests/core/fact.zy,explicit
release,0,895088,343,106,6014920,True,"[265, 89, 14, 13]",13,lib/tests/core/fact.zy,recursive
release,0,955710,343,106,6910924,True,"[265, 89, 14, 13]",13,lib/tests/core/fact.zy,original
release,0,914494,343,106,5759169,True,"[265, 89, 14, 13]",13,lib/tests/core/fact.zy,jobs
release,0,887461,343,106,6763331,True,"[265, 89, 14, 13]",13,lib/tests/core/fact.zy,baseline
release,0,1005292,343,106,8478250,True,"[265, 89, 14, 13]",14,lib/tests/core/fact.zy,recursive
release,0,860753,343,106,6022335,True,"[265, 89, 14, 13]",14,lib/tests/core/fact.zy,original
