experiment,profile,run,drop_ns,input_nodes,iterations,lower_ns,native,output_counts,round,source,variant
selected,debug,0,257210,343,15,5118750,True,"[265, 89, 14, 13]",1,lib/tests/core/fact.zy,trim_direct
selected,debug,0,260835,343,15,5287831,True,"[265, 89, 14, 13]",1,lib/tests/core/fact.zy,baseline
selected,debug,0,266501,343,15,5475582,True,"[265, 89, 14, 13]",2,lib/tests/core/fact.zy,direct
selected,debug,0,263625,343,15,5257792,True,"[265, 89, 14, 13]",2,lib/tests/core/fact.zy,trim_direct
selected,debug,0,278127,343,15,5289668,True,"[265, 89, 14, 13]",2,lib/tests/core/fact.zy,baseline
selected,debug,0,269875,343,15,5239458,True,"[265, 89, 14, 13]",2,lib/tests/core/fact.zy,trim
selected,debug,0,267834,343,15,5172082,True,"[265, 89, 14, 13]",3,lib/tests/core/fact.zy,trim_direct
selected,debug,0,270878,343,15,5574667,True,"[265, 89, 14, 13]",3,lib/tests/core/fact.zy,baseline
selected,debug,0,261751,343,15,5194210,True,"[265, 89, 14, 13]",3,lib/tests/core/fact.zy,trim
selected,debug,0,255876,343,15,5205999,True,"[265, 89, 14, 13]",3,lib/tests/core/fact.zy,direct
selected,debug,0,262334,343,15,5206710,True,"[265, 89, 14, 13]",4,lib/tests/core/fact.zy,baseline
selected,debug,0,253666,343,15,5109834,True,"[265, 89, 14, 13]",4,lib/tests/core/fact.zy,trim
selected,debug,0,257541,343,15,5115792,True,"[265, 89, 14, 13]",4,lib/tests/core/fact.zy,direct
selected,debug,0,260000,343,15,5059252,True,"[265, 89, 14, 13]",4,lib/tests/core/fact.zy,trim_direct
selected,debug,0,253750,343,15,5247164,True,"[265, 89, 14, 13]",5,lib/tests/core/fact.zy,trim
selected,debug,0,259251,343,15,5029209,True,"[265, 89, 14, 13]",5,lib/tests/core/fact.zy,direct
selected,debug,0,246625,343,15,5038251,True,"[265, 89, 14, 13]",5,lib/tests/core/fact.zy,trim_direct
selected,debug,0,249124,343,15,5132039,True,"[265, 89, 14, 13]",5,lib/tests/core/fact.zy,baseline
selected,debug,0,251377,343,15,5122083,True,"[265, 89, 14, 13]",6,lib/tests/core/fact.zy,direct
selected,debug,0,243124,343,15,4925667,True,"[265, 89, 14, 13]",6,lib/tests/core/fact.zy,trim_direct
selected,debug,0,240666,343,15,4944626,True,"[265, 89, 14, 13]",6,lib/tests/core/fact.zy,baseline
selected,debug,0,268707,343,15,5314998,True,"[265, 89, 14, 13]",6,lib/tests/core/fact.zy,trim
selected,debug,0,254541,343,15,5523918,True,"[265, 89, 14, 13]",7,lib/tests/core/fact.zy,trim_direct
selected,debug,0,244168,343,15,4980794,True,"[265, 89, 14, 13]",7,lib/tests/core/fact.zy,baseline
selected,debug,0,261418,343,15,5711874,True,"[265, 89, 14, 13]",7,lib/tests/core/fact.zy,trim
selected,debug,0,334249,343,15,5766707,True,"[265, 89, 14, 13]",7,lib/tests/core/fact.zy,direct
selected,debug,0,337126,343,15,5562082,True,"[265, 89, 14, 13]",8,lib/tests/core/fact.zy,baseline
selected,debug,0,261500,343,15,5214418,True,"[265, 89, 14, 13]",8,lib/tests/core/fact.zy,trim
selected,debug,0,261124,343,15,5165167,True,"[265, 89, 14, 13]",8,lib/tests/core/fact.zy,direct
selected,debug,0,253290,343,15,5286376,True,"[265, 89, 14, 13]",8,lib/tests/core/fact.zy,trim_direct
selected,debug,0,254666,343,15,5376085,True,"[265, 89, 14, 13]",9,lib/tests/core/fact.zy,trim
selected,debug,0,272832,343,15,5281831,True,"[265, 89, 14, 13]",9,lib/tests/core/fact.zy,direct
selected,debug,0,336123,343,15,5652460,True,"[265, 89, 14, 13]",9,lib/tests/core/fact.zy,trim_direct
selected,debug,0,264501,343,15,5125831,True,"[265, 89, 14, 13]",9,lib/tests/core/fact.zy,baseline
selected,debug,0,262290,343,15,5038709,True,"[265, 89, 14, 13]",10,lib/tests/core/fact.zy,direct
selected,debug,0,264836,343,15,5293457,True,"[265, 89, 14, 13]",10,lib/tests/core/fact.zy,trim_direct
selected,debug,0,261625,343,15,5385079,True,"[265, 89, 14, 13]",10,lib/tests/core/fact.zy,baseline
selected,debug,0,269332,343,15,5151877,True,"[265, 89, 14, 13]",10,lib/tests/core/fact.zy,trim
selected,debug,0,266876,343,15,5208165,True,"[265, 89, 14, 13]",11,lib/tests/core/fact.zy,trim_direct
selected,debug,0,244417,343,15,4988125,True,"[265, 89, 14, 13]",11,lib/tests/core/fact.zy,baseline
selected,debug,0,247625,343,15,5012041,True,"[265, 89, 14, 13]",11,lib/tests/core/fact.zy,trim
selected,debug,0,251875,343,15,5029957,True,"[265, 89, 14, 13]",11,lib/tests/core/fact.zy,direct
selected,debug,0,247122,343,15,5070291,True,"[265, 89, 14, 13]",12,lib/tests/core/fact.zy,baseline
selected,debug,0,257044,343,15,5179086,True,"[265, 89, 14, 13]",12,lib/tests/core/fact.zy,trim
selected,debug,0,249789,343,15,4944333,True,"[265, 89, 14, 13]",12,lib/tests/core/fact.zy,direct
selected,debug,0,267546,343,15,4970832,True,"[265, 89, 14, 13]",12,lib/tests/core/fact.zy,trim_direct
selected,debug,0,248708,343,15,5068833,True,"[265, 89, 14, 13]",13,lib/tests/core/fact.zy,trim
selected,debug,0,250041,343,15,5080249,True,"[265, 89, 14, 13]",13,lib/tests/core/fact.zy,direct
selected,debug,0,258335,343,15,5071042,True,"[265, 89, 14, 13]",13,lib/tests/core/fact.zy,trim_direct
selected,debug,0,266915,343,15,5194207,True,"[265, 89, 14, 13]",13,lib/tests/core/fact.zy,baseline
selected,debug,0,261753,343,15,5207207,True,"[265, 89, 14, 13]",14,lib/tests/core/fact.zy,direct
selected,debug,0,256082,343,15,5079918,True,"[265, 89, 14, 13]",14,lib/tests/core/fact.zy,trim_direct
selected,debug,0,251917,343,15,5208832,True,"[265, 89, 14, 13]",14,lib/tests/core/fact.zy,baseline
selected,debug,0,268082,343,15,5441708,True,"[265, 89, 14, 13]",14,lib/tests/core/fact.zy,trim
selected,debug,0,263542,343,15,5273625,True,"[265, 89, 14, 13]",15,lib/tests/core/fact.zy,trim_direct
selected,debug,0,266543,343,15,5331377,True,"[265, 89, 14, 13]",15,lib/tests/core/fact.zy,baseline
selected,debug,0,271833,343,15,5377127,True,"[265, 89, 14, 13]",15,lib/tests/core/fact.zy,trim
selected,debug,0,268334,343,15,5270708,True,"[265, 89, 14, 13]",15,lib/tests/core/fact.zy,direct
selected,debug,0,268167,343,15,5161626,True,"[265, 89, 14, 13]",16,lib/tests/core/fact.zy,baseline
selected,debug,0,257167,343,15,5166583,True,"[265, 89, 14, 13]",16,lib/tests/core/fact.zy,trim
selected,debug,0,246251,343,15,4963624,True,"[265, 89, 14, 13]",16,lib/tests/core/fact.zy,direct
selected,debug,0,292665,343,15,5297000,True,"[265, 89, 14, 13]",16,lib/tests/core/fact.zy,trim_direct
selected,debug,0,263374,343,15,5234998,True,"[265, 89, 14, 13]",17,lib/tests/core/fact.zy,trim
selected,debug,0,259082,343,15,5146081,True,"[265, 89, 14, 13]",17,lib/tests/core/fact.zy,direct
selected,debug,0,275625,343,15,5069917,True,"[265, 89, 14, 13]",17,lib/tests/core/fact.zy,trim_direct
selected,debug,0,245042,343,15,5077332,True,"[265, 89, 14, 13]",17,lib/tests/core/fact.zy,baseline
selected,debug,0,264626,343,15,5037083,True,"[265, 89, 14, 13]",18,lib/tests/core/fact.zy,direct
selected,debug,0,263458,343,15,4982375,True,"[265, 89, 14, 13]",18,lib/tests/core/fact.zy,trim_direct
selected,debug,0,243208,343,15,4958375,True,"[265, 89, 14, 13]",18,lib/tests/core/fact.zy,baseline
selected,debug,0,244373,343,15,4921709,True,"[265, 89, 14, 13]",18,lib/tests/core/fact.zy,trim
selected,debug,0,242417,343,15,4975916,True,"[265, 89, 14, 13]",19,lib/tests/core/fact.zy,trim_direct
selected,debug,0,245626,343,15,4941875,True,"[265, 89, 14, 13]",19,lib/tests/core/fact.zy,baseline
selected,debug,0,249334,343,15,5103124,True,"[265, 89, 14, 13]",19,lib/tests/core/fact.zy,trim
selected,debug,0,249585,343,15,5085169,True,"[265, 89, 14, 13]",19,lib/tests/core/fact.zy,direct
selected,debug,0,260083,343,15,5328416,True,"[265, 89, 14, 13]",20,lib/tests/core/fact.zy,baseline
selected,debug,0,268416,343,15,5255707,True,"[265, 89, 14, 13]",20,lib/tests/core/fact.zy,trim
selected,debug,0,267376,343,15,4920498,True,"[265, 89, 14, 13]",20,lib/tests/core/fact.zy,direct
selected,debug,0,252040,343,15,5075207,True,"[265, 89, 14, 13]",20,lib/tests/core/fact.zy,trim_direct
selected,debug,0,254750,343,15,5176209,True,"[265, 89, 14, 13]",21,lib/tests/core/fact.zy,trim
selected,debug,0,289081,343,15,5430502,True,"[265, 89, 14, 13]",21,lib/tests/core/fact.zy,direct
selected,debug,0,291166,343,15,5199041,True,"[265, 89, 14, 13]",21,lib/tests/core/fact.zy,trim_direct
selected,debug,0,257002,343,15,5094791,True,"[265, 89, 14, 13]",21,lib/tests/core/fact.zy,baseline
selected,debug,0,258706,343,15,5194914,True,"[265, 89, 14, 13]",22,lib/tests/core/fact.zy,direct
selected,debug,0,252958,343,15,5117124,True,"[265, 89, 14, 13]",22,lib/tests/core/fact.zy,trim_direct
selected,debug,0,252582,343,15,5064083,True,"[265, 89, 14, 13]",22,lib/tests/core/fact.zy,baseline
selected,debug,0,249247,343,15,5099959,True,"[265, 89, 14, 13]",22,lib/tests/core/fact.zy,trim
selected,debug,0,247207,343,15,5018999,True,"[265, 89, 14, 13]",23,lib/tests/core/fact.zy,trim_direct
selected,debug,0,255040,343,15,5108294,True,"[265, 89, 14, 13]",23,lib/tests/core/fact.zy,baseline
selected,debug,0,257666,343,15,4986710,True,"[265, 89, 14, 13]",23,lib/tests/core/fact.zy,trim
selected,debug,0,279332,343,15,4983207,True,"[265, 89, 14, 13]",23,lib/tests/core/fact.zy,direct
selected,debug,0,253501,343,15,5111291,True,"[265, 89, 14, 13]",24,lib/tests/core/fact.zy,baseline
selected,debug,0,254540,343,15,5153584,True,"[265, 89, 14, 13]",24,lib/tests/core/fact.zy,trim
selected,debug,0,245708,343,15,5049125,True,"[265, 89, 14, 13]",24,lib/tests/core/fact.zy,direct
selected,debug,0,253998,343,15,5127251,True,"[265, 89, 14, 13]",24,lib/tests/core/fact.zy,trim_direct
selected,debug,0,278790,343,15,5124581,True,"[265, 89, 14, 13]",25,lib/tests/core/fact.zy,trim
selected,debug,0,250000,343,15,5077377,True,"[265, 89, 14, 13]",25,lib/tests/core/fact.zy,direct
selected,debug,0,243540,343,15,4997166,True,"[265, 89, 14, 13]",25,lib/tests/core/fact.zy,trim_direct
selected,debug,0,248665,343,15,4999750,True,"[265, 89, 14, 13]",25,lib/tests/core/fact.zy,baseline
selected,debug,0,245541,343,15,5041707,True,"[265, 89, 14, 13]",26,lib/tests/core/fact.zy,direct
selected,debug,0,257291,343,15,5189667,True,"[265, 89, 14, 13]",26,lib/tests/core/fact.zy,trim_direct
selected,debug,0,275834,343,15,5223749,True,"[265, 89, 14, 13]",26,lib/tests/core/fact.zy,baseline
selected,debug,0,245210,343,15,5029835,True,"[265, 89, 14, 13]",26,lib/tests/core/fact.zy,trim
selected,debug,0,256043,343,15,5028791,True,"[265, 89, 14, 13]",27,lib/tests/core/fact.zy,trim_direct
selected,debug,0,255292,343,15,5127125,True,"[265, 89, 14, 13]",27,lib/tests/core/fact.zy,baseline
selected,debug,0,261001,343,15,5092585,True,"[265, 89, 14, 13]",27,lib/tests/core/fact.zy,trim
selected,debug,0,257666,343,15,5102208,True,"[265, 89, 14, 13]",27,lib/tests/core/fact.zy,direct
selected,debug,0,260252,343,15,5210710,True,"[265, 89, 14, 13]",28,lib/tests/core/fact.zy,baseline
selected,debug,0,246457,343,15,5116207,True,"[265, 89, 14, 13]",28,lib/tests/core/fact.zy,trim
selected,debug,0,252252,343,15,5035498,True,"[265, 89, 14, 13]",28,lib/tests/core/fact.zy,direct
selected,debug,0,252417,343,15,5153210,True,"[265, 89, 14, 13]",28,lib/tests/core/fact.zy,trim_direct
selected,debug,0,241125,343,15,5041208,True,"[265, 89, 14, 13]",29,lib/tests/core/fact.zy,trim
selected,debug,0,249999,343,15,5124125,True,"[265, 89, 14, 13]",29,lib/tests/core/fact.zy,direct
selected,debug,0,331584,343,15,5023876,True,"[265, 89, 14, 13]",29,lib/tests/core/fact.zy,trim_direct
selected,debug,0,245960,343,15,5082164,True,"[265, 89, 14, 13]",29,lib/tests/core/fact.zy,baseline
selected,debug,0,240875,343,15,4957041,True,"[265, 89, 14, 13]",30,lib/tests/core/fact.zy,direct
selected,debug,0,246749,343,15,4972917,True,"[265, 89, 14, 13]",30,lib/tests/core/fact.zy,trim_direct
